channel_id	electrode_id	type	unit	sampling_frequency	gain
AP110	s0e62	EXT	V	30000.0	3.02734375e-06
AP111	s0e63	EXT	V	30000.0	3.02734375e-06
AP112	s0e64	EXT	V	30000.0	3.02734375e-06
AP113	s0e65	EXT	V	30000.0	3.02734375e-06
AP114	s0e66	EXT	V	30000.0	3.02734375e-06
AP115	s0e67	EXT	V	30000.0	3.02734375e-06
AP116	s0e68	EXT	V	30000.0	3.02734375e-06
AP117	s0e69	EXT	V	30000.0	3.02734375e-06
AP118	s0e70	EXT	V	30000.0	3.02734375e-06
AP119	s0e71	EXT	V	30000.0	3.02734375e-06
AP120	s0e72	EXT	V	30000.0	3.02734375e-06
AP121	s0e73	EXT	V	30000.0	3.02734375e-06
AP122	s0e74	EXT	V	30000.0	3.02734375e-06
AP123	s0e75	EXT	V	30000.0	3.02734375e-06
AP124	s0e76	EXT	V	30000.0	3.02734375e-06
AP125	s0e77	EXT	V	30000.0	3.02734375e-06
AP126	s0e78	EXT	V	30000.0	3.02734375e-06
AP127	s0e79	EXT	V	30000.0	3.02734375e-06
AP128	s0e80	EXT	V	30000.0	3.02734375e-06
AP129	s0e81	EXT	V	30000.0	3.02734375e-06
AP130	s0e82	EXT	V	30000.0	3.02734375e-06
AP131	s0e83	EXT	V	30000.0	3.02734375e-06
AP132	s0e84	EXT	V	30000.0	3.02734375e-06
AP133	s0e85	EXT	V	30000.0	3.02734375e-06
AP134	s0e86	EXT	V	30000.0	3.02734375e-06
AP135	s0e87	EXT	V	30000.0	3.02734375e-06
AP136	s0e88	EXT	V	30000.0	3.02734375e-06
AP137	s0e89	EXT	V	30000.0	3.02734375e-06
AP138	s0e90	EXT	V	30000.0	3.02734375e-06
AP139	s0e91	EXT	V	30000.0	3.02734375e-06
AP140	s0e92	EXT	V	30000.0	3.02734375e-06
AP141	s0e93	EXT	V	30000.0	3.02734375e-06
AP142	s0e94	EXT	V	30000.0	3.02734375e-06
AP143	s0e95	EXT	V	30000.0	3.02734375e-06
AP144	s1e48	EXT	V	30000.0	3.02734375e-06
AP145	s1e49	EXT	V	30000.0	3.02734375e-06
AP146	s1e50	EXT	V	30000.0	3.02734375e-06
AP147	s1e51	EXT	V	30000.0	3.02734375e-06
AP148	s1e52	EXT	V	30000.0	3.02734375e-06
AP149	s1e53	EXT	V	30000.0	3.02734375e-06
AP150	s1e54	EXT	V	30000.0	3.02734375e-06
AP151	s1e55	EXT	V	30000.0	3.02734375e-06
AP152	s1e56	EXT	V	30000.0	3.02734375e-06
AP153	s1e57	EXT	V	30000.0	3.02734375e-06
AP154	s1e58	EXT	V	30000.0	3.02734375e-06
AP155	s1e59	EXT	V	30000.0	3.02734375e-06
AP156	s1e60	EXT	V	30000.0	3.02734375e-06
AP157	s1e61	EXT	V	30000.0	3.02734375e-06
AP158	s1e62	EXT	V	30000.0	3.02734375e-06
AP159	s1e63	EXT	V	30000.0	3.02734375e-06
AP160	s1e64	EXT	V	30000.0	3.02734375e-06
AP161	s1e65	EXT	V	30000.0	3.02734375e-06
AP162	s1e66	EXT	V	30000.0	3.02734375e-06
AP163	s1e67	EXT	V	30000.0	3.02734375e-06
AP164	s1e68	EXT	V	30000.0	3.02734375e-06
AP165	s1e69	EXT	V	30000.0	3.02734375e-06
AP166	s1e70	EXT	V	30000.0	3.02734375e-06
AP167	s1e71	EXT	V	30000.0	3.02734375e-06
AP168	s1e72	EXT	V	30000.0	3.02734375e-06
AP169	s1e73	EXT	V	30000.0	3.02734375e-06
