probe_id	type	description	manufacturer
NeuropixelsImec0		"{""probe_type"": ""2013"", ""probe_type_description"": ""Neuropixels 2.0 - Four Shank"", ""flex_part_number"": ""NPM_FLEX_01"", ""connected_base_station_part_number"": ""NP2_QBSC_00""}"	Imec
NeuropixelsImec1		"{""probe_type"": ""2013"", ""probe_type_description"": ""Neuropixels 2.0 - Four Shank"", ""flex_part_number"": ""NPM_FLEX_01"", ""connected_base_station_part_number"": ""NP2_QBSC_00""}"	Imec
