electrode_id	probe_id	location
167	NeuropixelsImec1	left dCA1
168	NeuropixelsImec1	left dCA1
169	NeuropixelsImec1	left dCA1
170	NeuropixelsImec1	left dCA1
171	NeuropixelsImec1	left dCA1
172	NeuropixelsImec1	left dCA1
173	NeuropixelsImec1	left dCA1
174	NeuropixelsImec1	left dCA1
175	NeuropixelsImec1	left dCA1
176	NeuropixelsImec1	left dCA1
177	NeuropixelsImec1	left dCA1
178	NeuropixelsImec1	left dCA1
179	NeuropixelsImec1	left dCA1
180	NeuropixelsImec1	left dCA1
181	NeuropixelsImec1	left dCA1
182	NeuropixelsImec1	left dCA1
183	NeuropixelsImec1	left dCA1
184	NeuropixelsImec1	left dCA1
185	NeuropixelsImec1	left dCA1
186	NeuropixelsImec1	left dCA1
187	NeuropixelsImec1	left dCA1
188	NeuropixelsImec1	left dCA1
189	NeuropixelsImec1	left dCA1
190	NeuropixelsImec1	left dCA1
191	NeuropixelsImec1	left dCA1
192	NeuropixelsImec1	left dCA1
193	NeuropixelsImec1	left dCA1
194	NeuropixelsImec1	left dCA1
195	NeuropixelsImec1	left dCA1
196	NeuropixelsImec1	left dCA1
197	NeuropixelsImec1	left dCA1
198	NeuropixelsImec1	left dCA1
199	NeuropixelsImec1	left dCA1
200	NeuropixelsImec1	left dCA1
201	NeuropixelsImec1	left dCA1
202	NeuropixelsImec1	left dCA1
203	NeuropixelsImec1	left dCA1
204	NeuropixelsImec1	left dCA1
205	NeuropixelsImec1	left dCA1
206	NeuropixelsImec1	left dCA1
207	NeuropixelsImec1	left dCA1
208	NeuropixelsImec1	left dCA1
209	NeuropixelsImec1	left dCA1
210	NeuropixelsImec1	left dCA1
211	NeuropixelsImec1	left dCA1
212	NeuropixelsImec1	left dCA1
213	NeuropixelsImec1	left dCA1
214	NeuropixelsImec1	left dCA1
215	NeuropixelsImec1	left dCA1
216	NeuropixelsImec1	left dCA1
217	NeuropixelsImec1	left dCA1
218	NeuropixelsImec1	left dCA1
219	NeuropixelsImec1	left dCA1
220	NeuropixelsImec1	left dCA1
221	NeuropixelsImec1	left dCA1
222	NeuropixelsImec1	left dCA1
223	NeuropixelsImec1	left dCA1
224	NeuropixelsImec1	left dCA1
225	NeuropixelsImec1	left dCA1
226	NeuropixelsImec1	left dCA1
227	NeuropixelsImec1	left dCA1
228	NeuropixelsImec1	left dCA1
229	NeuropixelsImec1	left dCA1
230	NeuropixelsImec1	left dCA1
231	NeuropixelsImec1	left dCA1
232	NeuropixelsImec1	left dCA1
233	NeuropixelsImec1	left dCA1
234	NeuropixelsImec1	left dCA1
235	NeuropixelsImec1	left dCA1
